Gene1,Gene2,PartialCor,Condition
RASSF6,RHBDL2,0.09304,IFN-gamma
RASSF6,TNFSF15,0.20142,IFN-gamma
RELB,SMC4,-0.10502,IFN-gamma
RELB,TMBIM4,-0.03834,IFN-gamma
RELB,YEATS4,-0.09848,IFN-gamma
RELB,ZHX2,0.11744,IFN-gamma
RELB,ZNF763,0.13064,IFN-gamma
RHBDL2,RPL7L1,0.02849,IFN-gamma
RHBDL2,SMCR5,0.24049,IFN-gamma
RN7SL1,RPL7L1,0.15431,IFN-gamma
RN7SL1,RRP7B,0.18945,IFN-gamma
RN7SL1,SLC4A5,-0.08989,IFN-gamma
RPL7L1,SLC4A5,0.19732,IFN-gamma
RPL7L1,TBCCD1,0.08568,IFN-gamma
RRP7B,RSU1,0.06986,IFN-gamma
RRP7B,SGK3,0.06891,IFN-gamma
RSU1,SEMA3E,0.03379,IFN-gamma
RUNDC2B,SC4MOL,0.13127,IFN-gamma
RUNDC2B,SLC4A5,-0.0827,IFN-gamma
SC4MOL,SLC30A6,0.19094,IFN-gamma
SC4MOL,YEATS4,-0.12925,IFN-gamma
SEMA3E,TDRD1,0.29628,IFN-gamma
SEMA3E,TNFSF15,0.20993,IFN-gamma
SEMA3E,XRCC2,0.17008,IFN-gamma
SEMA3E,ZNF430,-0.07549,IFN-gamma
SGK3,SLC35E3,0.05289,IFN-gamma
SGK3,SLC3A2,0.15185,IFN-gamma
SGK3,TPM4,0.22285,IFN-gamma
SGK3,ZNF652,0.20904,IFN-gamma
SLAMF6,SLC35E3,0.09834,IFN-gamma
SLAMF6,TNK2,-0.09085,IFN-gamma
SLAMF7,SLC35E3,0.23044,IFN-gamma
SLAMF7,ZNF131,0.11247,IFN-gamma
SLAMF7,ZNF845,-0.15294,IFN-gamma
SLC30A6,TBCCD1,0.24844,IFN-gamma
SLC30A6,TDRD1,0.09301,IFN-gamma
SLC35E3,SNX17,-0.05863,IFN-gamma
SLC35E3,SPINK1,0.15059,IFN-gamma
SLC35E3,STK24,0.13916,IFN-gamma
SLC35E3,TBC1D15,0.18001,IFN-gamma
SLC35E3,TLK1,0.11086,IFN-gamma
SLC3A2,SMC4,-0.14627,IFN-gamma
SLC3A2,SPINK1,0.17121,IFN-gamma
SLC3A2,THRA,0.16358,IFN-gamma
SLC3A2,WNT5A,0.17075,IFN-gamma
SLC3A2,ZNF777,0.17054,IFN-gamma
SLC4A5,SMCR5,0.11199,IFN-gamma
SLC4A5,SPC24,0.20368,IFN-gamma
SLC4A5,TNFSF14,0.13898,IFN-gamma
SLC4A5,YEATS4,-0.1729,IFN-gamma
SMAP1,STK24,0.20468,IFN-gamma
SMAP1,TNFSF14,-0.15745,IFN-gamma
SMC4,SNX17,-0.03458,IFN-gamma
SMC4,SORL1,0.1056,IFN-gamma
SMC4,TBC1D15,0.17123,IFN-gamma
SMC4,TLK1,0.17124,IFN-gamma
SMC4,TMBIM4,0.12771,IFN-gamma
SMC4,VHL,0.10639,IFN-gamma
SMCR5,STAG3L3,0.09534,IFN-gamma
SMCR5,YEATS4,0.10347,IFN-gamma
SMCR5,ZNF669,0.22733,IFN-gamma
SMCR5,ZNF786,0.2626,IFN-gamma
SNHG10,SNORD114-7,0.0469,IFN-gamma
SNHG10,SNX15,0.0994,IFN-gamma
SNHG10,TP53BP2,0.33985,IFN-gamma
SNORD114-7,SPINT3,-0.15507,IFN-gamma
SNORD114-7,ZNF131,0.2791,IFN-gamma
SNORD3A,SNORD3C,0.68105,IFN-gamma
SNORD3A,SNORD3D,0.693,IFN-gamma
SNORD3C,TBC1D9,-0.05321,IFN-gamma
SNORD3D,SNX17,-0.02815,IFN-gamma
SNORD3D,TMBIM4,-0.03987,IFN-gamma
SNRNP48,SPTLC1,-0.07478,IFN-gamma
SNRNP48,TMEM159,0.19008,IFN-gamma
SNRNP48,TPM3,0.19379,IFN-gamma
SNRNP48,TRIM34,0.1211,IFN-gamma
SNRNP48,ZNF266,0.43013,IFN-gamma
SNX15,SNX17,0.07628,IFN-gamma
SNX15,SPTLC1,-0.16577,IFN-gamma
SNX15,SSSCA1,0.17996,IFN-gamma
SNX15,TBCCD1,0.06445,IFN-gamma
SNX17,TBC1D9,-0.13436,IFN-gamma
SNX17,ZNF777,0.17157,IFN-gamma
SNX17,ZYX,0.28769,IFN-gamma
SORL1,SPINK1,-0.19887,IFN-gamma
SORL1,TNK2,0.18984,IFN-gamma
SORL1,ZNF763,0.11828,IFN-gamma
SPC24,SPINT3,0.14654,IFN-gamma
SPC24,STK24,-0.07378,IFN-gamma
SPTLC1,SULT1A1,0.18709,IFN-gamma
SPTLC1,TMEM106A,0.08002,IFN-gamma
SPTLC1,USP49,0.45803,IFN-gamma
STAG3L3,TNK2,0.13915,IFN-gamma
STAG3L3,TRIM56,0.18955,IFN-gamma
STAG3L3,VHL,0.10486,IFN-gamma
STAG3L3,ZNF845,-0.11948,IFN-gamma
STK24,TMBIM4,0.2135,IFN-gamma
STK24,UTP20,-0.13974,IFN-gamma
SULT1A1,ZNF430,0.35688,IFN-gamma
TAF13,TPM4,0.0852,IFN-gamma
TBC1D15,TMBIM4,0.20913,IFN-gamma
TBC1D15,YEATS4,0.11695,IFN-gamma
TBC1D9,TNFSF14,0.03742,IFN-gamma
TBC1D9,TNK2,-0.12484,IFN-gamma
TBC1D9,YEATS4,0.24488,IFN-gamma
TBCCD1,TMEM159,0.33825,IFN-gamma
TDRD1,TMEM17,0.18651,IFN-gamma
TLK1,TP53BP2,0.07191,IFN-gamma
TLK1,YEATS4,0.17544,IFN-gamma
TLK1,ZNF131,-0.14685,IFN-gamma
TMEM106A,TMEM17,0.08448,IFN-gamma
TMEM106A,YEATS4,-0.12167,IFN-gamma
TMEM128,TMEM159,0.26413,IFN-gamma
TMEM159,TMEM17,-0.06581,IFN-gamma
TMEM159,USP49,0.00012,IFN-gamma
TMEM17,TNFRSF10B,-0.04831,IFN-gamma
TMEM17,TNFSF15,0.07461,IFN-gamma
TMEM17,TP53BP2,-0.03776,IFN-gamma
TMEM17,WNT5A,0.10612,IFN-gamma
TNFSF14,TNFSF15,0.12097,IFN-gamma
TNFSF14,VPS41,0.26191,IFN-gamma
TNFSF15,TNK2,0.08168,IFN-gamma
TNFSF15,WNT5A,-0.10903,IFN-gamma
TNFSF15,ZNF266,0.02619,IFN-gamma
TNFSF15,ZNF738,-0.11452,IFN-gamma
TNK2,TRIM56,0.11394,IFN-gamma
TNK2,ZYX,0.14644,IFN-gamma
TP53BP2,TPM4,-0.05922,IFN-gamma
TP53BP2,TRIM16L,0.30105,IFN-gamma
TP53BP2,TTC21B,-0.05863,IFN-gamma
TP53BP2,YEATS4,0.11896,IFN-gamma
TPM3,TRIM16L,0.10825,IFN-gamma
TPM3,TTC21B,0.27642,IFN-gamma
TPM4,UBE2E2,0.19654,IFN-gamma
TPM4,VHL,0.23365,IFN-gamma
TPM4,ZNF701,0.15322,IFN-gamma
TRIM16L,TRIM34,0.30987,IFN-gamma
TRIM34,VHL,-0.15028,IFN-gamma
TRIM34,ZNF266,0.18921,IFN-gamma
TTC21B,USP49,-0.04811,IFN-gamma
TTC21B,UTP20,0.16555,IFN-gamma
UBE2E2,USP49,-0.07102,IFN-gamma
USP49,UTP20,-0.0445,IFN-gamma
USP49,VPS41,0.18771,IFN-gamma
USP49,WDR74,0.11012,IFN-gamma
USP49,YRDC,0.12567,IFN-gamma
USP49,ZNF738,0.37168,IFN-gamma
UTP20,ZC3HAV1L,0.18361,IFN-gamma
VHL,ZC3HAV1L,-0.09568,IFN-gamma
VPS41,WDR74,0.12497,IFN-gamma
VPS41,ZNF430,0.03383,IFN-gamma
VPS41,ZNF765,0.09751,IFN-gamma
WDR74,XRCC2,0.06516,IFN-gamma
XRCC2,YRDC,0.27438,IFN-gamma
XRCC2,ZMAT3,0.04484,IFN-gamma
XRCC2,ZNF483,0.41474,IFN-gamma
YRDC,ZC3HAV1L,-0.17883,IFN-gamma
YRDC,ZNF14,0.2941,IFN-gamma
ZC3HAV1L,ZNF43,0.3267,IFN-gamma
ZC3HAV1L,ZNF682,0.13912,IFN-gamma
ZMAT3,ZNF394,0.73724,IFN-gamma
ZNF14,ZNF394,0.06883,IFN-gamma
ZNF14,ZNF682,0.46414,IFN-gamma
ZNF266,ZNF394,-0.02544,IFN-gamma
ZNF266,ZNF43,0.14341,IFN-gamma
ZNF266,ZNF483,0.0555,IFN-gamma
ZNF394,ZNF430,0.05949,IFN-gamma
ZNF394,ZNF69,0.19018,IFN-gamma
ZNF394,ZNF786,-0.09233,IFN-gamma
ZNF430,ZNF557,0.1098,IFN-gamma
ZNF430,ZNF652,0.25011,IFN-gamma
ZNF430,ZNF738,0.17293,IFN-gamma
ZNF430,ZNF786,0.17019,IFN-gamma
ZNF483,ZNF557,0.13489,IFN-gamma
ZNF483,ZNF669,0.14724,IFN-gamma
ZNF483,ZNF69,0.29446,IFN-gamma
ZNF557,ZNF682,0.08696,IFN-gamma
ZNF652,ZNF682,0.09421,IFN-gamma
ZNF652,ZNF845,0.199,IFN-gamma
ZNF669,ZNF738,0.13309,IFN-gamma
ZNF682,ZNF69,0.07956,IFN-gamma
ZNF69,ZNF738,0.08701,IFN-gamma
ZNF69,ZNF765,-0.08075,IFN-gamma
ZNF69,ZNF845,-0.07943,IFN-gamma
ZNF701,ZNF738,0.10795,IFN-gamma
ZNF701,ZNF845,0.18192,IFN-gamma
ZNF763,ZNF845,0.20114,IFN-gamma
ABCF2,AFMID,-0.0323,LPS-2h
ABCF2,AIRE,-0.0291,LPS-2h
ABCF2,POLR3A,0.21284,LPS-2h
ACBD5,AKR1D1,0.12708,LPS-2h
ACBD5,ANKRD30B,0.10256,LPS-2h
ACBD5,BCAS4,0.09212,LPS-2h
ACBD5,BFAR,0.09954,LPS-2h
ACBD5,FAM177A1,0.137,LPS-2h
ACBD5,FKBP1P1,0.16013,LPS-2h
ACBD5,GIMAP1,0.14477,LPS-2h
ACBD5,H6PD,0.15294,LPS-2h
ACBD5,KCNH6,-0.12564,LPS-2h
ACBD5,LIN52,0.13694,LPS-2h
ACBD5,LOC100190938,-0.14387,LPS-2h
ACBD5,MCF2L2,0.24108,LPS-2h
ACBD5,MRP63,-0.07177,LPS-2h
ACBD5,PODXL,0.07692,LPS-2h
ACBD5,POFUT1,-0.09788,LPS-2h
ACBD5,RRP7B,-0.10569,LPS-2h
ACBD5,SNX15,0.24529,LPS-2h
ACBD5,TNFSF15,0.08058,LPS-2h
ACBD5,TPM3,-0.07156,LPS-2h
ACBD5,TRIM34,0.16751,LPS-2h
ACBD5,ZMAT3,-0.05668,LPS-2h
ACBD5,ZNF765,0.09113,LPS-2h
ADAMTS4,AFMID,-0.04763,LPS-2h
ADAMTS4,AIRE,0.06546,LPS-2h
ADAMTS4,CCL20,-0.07507,LPS-2h
ADAMTS4,COX16,0.05421,LPS-2h
ADAMTS4,DUXAP3,-0.09191,LPS-2h
ADAMTS4,FDXACB1,0.20635,LPS-2h
ADAMTS4,LOC641522,0.18213,LPS-2h
ADAMTS4,MCF2L2,0.28561,LPS-2h
ADAMTS4,NDUFC2,0.10204,LPS-2h
ADAMTS4,TBCCD1,0.39184,LPS-2h
ADAMTS4,ZC3HAV1L,0.20828,LPS-2h
ADAMTS4,ZNF43,0.1006,LPS-2h
ADAMTS4,ZNF765,0.13134,LPS-2h
AFMID,AFTPH,0.04171,LPS-2h
AFMID,AMFR,-0.02964,LPS-2h
AFMID,ANKRD30B,0.07403,LPS-2h
AFMID,BMS1P5,-0.06768,LPS-2h
AFMID,C19orf31,0.06106,LPS-2h
AFMID,C6orf61,-0.02432,LPS-2h
AFMID,CAPS2,0.04588,LPS-2h
AFMID,CDKN2AIPNL,-0.06674,LPS-2h
AFMID,DCLRE1C,-0.02814,LPS-2h
AFMID,GTF2IRD2B,0.08034,LPS-2h
AFMID,HCG2P7,-0.04175,LPS-2h
AFMID,KCNH6,-0.08281,LPS-2h
AFMID,KILLIN,0.08277,LPS-2h
AFMID,LYZ,0.56028,LPS-2h
AFMID,NDUFV3,0.06292,LPS-2h
AFMID,RAG1AP1,-0.0868,LPS-2h
AFMID,SNHG10,0.27894,LPS-2h
AFMID,SORL1,0.07691,LPS-2h
AFMID,SSSCA1,0.05471,LPS-2h
AFMID,TP53BP2,0.43638,LPS-2h
AFMID,ZNF131,0.15096,LPS-2h
AFMID,ZNF682,-0.08185,LPS-2h
AFTPH,BFAR,0.13421,LPS-2h
AFTPH,BIRC3,0.14224,LPS-2h
AFTPH,C4orf34,0.12491,LPS-2h
AFTPH,CDK5RAP2,0.10193,LPS-2h
AFTPH,GSDM1,0.0753,LPS-2h
AFTPH,HFE,0.14457,LPS-2h
AFTPH,ISG20L2,0.20999,LPS-2h
AFTPH,KLHL8,-0.11759,LPS-2h
AFTPH,LEMD3,0.12673,LPS-2h
AFTPH,LGALS3,-0.17328,LPS-2h
AFTPH,LOC284821,0.07736,LPS-2h
AFTPH,MT1G,0.15298,LPS-2h
AFTPH,RELB,0.17302,LPS-2h
AFTPH,SLC35E3,0.12368,LPS-2h
AFTPH,SNX17,-0.11059,LPS-2h
AFTPH,TRIM56,0.21001,LPS-2h
AFTPH,XRCC2,-0.09313,LPS-2h
AFTPH,YEATS4,-0.15959,LPS-2h
AFTPH,ZYX,0.08241,LPS-2h
AGTRAP,BTBD2,0.2467,LPS-2h
AGTRAP,CYP27A1,0.13751,LPS-2h
AGTRAP,HNRPR,-0.12855,LPS-2h
AGTRAP,HSBP1,0.15009,LPS-2h
AGTRAP,IL10,-0.22907,LPS-2h
AGTRAP,JARID2,-0.16824,LPS-2h
AGTRAP,NDUFV3,0.10149,LPS-2h
AGTRAP,NFIL3,-0.17133,LPS-2h
AGTRAP,RUNDC2B,0.11549,LPS-2h
AGTRAP,SLAMF6,-0.08837,LPS-2h
AGTRAP,SLC35E3,0.21906,LPS-2h
AGTRAP,SLC3A2,0.0681,LPS-2h
AGTRAP,TMBIM4,0.08883,LPS-2h
AGTRAP,ZYX,0.17058,LPS-2h
AIRE,ALPP,-0.11692,LPS-2h
AIRE,BIRC3,-0.11757,LPS-2h
AIRE,C19orf31,-0.06397,LPS-2h
AIRE,C21orf24,-0.0636,LPS-2h
AIRE,CATSPER2,0.20571,LPS-2h
AIRE,CCR6,-0.17321,LPS-2h
AIRE,CDAN1,0.14438,LPS-2h
AIRE,CDKN2AIPNL,0.10939,LPS-2h
AIRE,CHRNA5,-0.09988,LPS-2h
AIRE,DDX51,0.10394,LPS-2h
AIRE,DEM1,-0.06761,LPS-2h
AIRE,FARSLB,0.14256,LPS-2h
AIRE,FLJ46309,0.15197,LPS-2h
AIRE,HCG2P7,0.05463,LPS-2h
AIRE,HIATL2,-0.10848,LPS-2h
AIRE,HNRPR,-0.05465,LPS-2h
AIRE,KIAA0101,0.1072,LPS-2h
AIRE,LILRB3,0.15994,LPS-2h
AIRE,LOC100132727,0.13411,LPS-2h
AIRE,LOC255167,0.08409,LPS-2h
AIRE,LOC653086,0.22543,LPS-2h
AIRE,MINK1,0.04586,LPS-2h
AIRE,NOD1,-0.07506,LPS-2h
AIRE,PNPT1,0.24607,LPS-2h
AIRE,RPL7L1,0.21577,LPS-2h
AIRE,STAG3L3,-0.108,LPS-2h
AIRE,TBC1D15,-0.06472,LPS-2h
AIRE,TIPRL,0.0786,LPS-2h
AIRE,TMEM106A,0.13111,LPS-2h
AIRE,USP49,0.08919,LPS-2h
AIRE,VHL,-0.06395,LPS-2h
AIRE,YEATS4,-0.04343,LPS-2h
AIRE,ZNF682,0.1103,LPS-2h
AKR1D1,B3GNT5,-0.13453,LPS-2h
AKR1D1,BFAR,-0.17807,LPS-2h
AKR1D1,CDAN1,0.13099,LPS-2h
AKR1D1,CHRNA5,-0.08525,LPS-2h
AKR1D1,KCNH6,0.21487,LPS-2h
AKR1D1,LOC100132727,0.09051,LPS-2h
AKR1D1,LOC100134229,0.05133,LPS-2h
AKR1D1,LOC729603,0.16202,LPS-2h
AKR1D1,RPL7L1,0.25511,LPS-2h
AKR1D1,SPC24,0.17366,LPS-2h
AKR1D1,TPM4,-0.12832,LPS-2h
ALPP,AMFR,-0.10468,LPS-2h
ALPP,AMOTL2,0.0668,LPS-2h
ALPP,ANKRD30B,0.10024,LPS-2h
ALPP,C15orf63,0.07787,LPS-2h
ALPP,HSD17B7,0.22468,LPS-2h
ALPP,KCNH6,0.07454,LPS-2h
ALPP,LOC100132727,0.17821,LPS-2h
ALPP,LOC646996,0.36066,LPS-2h
ALPP,MBD4,0.15051,LPS-2h
ALPP,OCIAD1,0.20441,LPS-2h
ALPP,PIP5K2B,0.17479,LPS-2h
ALPP,PPA2,0.18184,LPS-2h
ALPP,ZNF738,0.14391,LPS-2h
ALPP,ZNF786,0.10227,LPS-2h
AMFR,LOC100131452,0.19502,LPS-2h
AMFR,NLRP3,0.14529,LPS-2h
AMFR,RELB,-0.18156,LPS-2h
AMFR,SGK3,0.1197,LPS-2h
AMOTL2,WDR74,0.21178,LPS-2h
ANAPC5,BTBD2,0.16588,LPS-2h
ANAPC5,C4orf34,0.13492,LPS-2h
ANAPC5,CCNB1IP1,0.26067,LPS-2h
ANAPC5,COPZ1,0.17977,LPS-2h
ANAPC5,FGFBP2,0.07843,LPS-2h
ANAPC5,FOXD4L4,-0.12179,LPS-2h
ANAPC5,GIMAP1,-0.15742,LPS-2h
ANAPC5,GSR,-0.13372,LPS-2h
ANAPC5,MT1G,-0.1376,LPS-2h
ANAPC5,RAB3IP,0.11688,LPS-2h
ANAPC5,SNX17,0.19936,LPS-2h
ANAPC5,SORL1,0.18129,LPS-2h
ANAPC5,TNFRSF10B,0.11265,LPS-2h
ANKRD30B,BLZF1,0.15006,LPS-2h
ANKRD30B,C21orf55,0.26749,LPS-2h
ANKRD30B,LOC653086,0.28681,LPS-2h
APOBEC3D,IMPDH1,0.13966,LPS-2h
APOBEC3D,SC4MOL,0.16482,LPS-2h
APOBEC3D,SRGAP1,-0.22622,LPS-2h
ARSG,NCAPD2,0.13634,LPS-2h
ARSG,SORL1,0.25974,LPS-2h
ARSG,STK24,0.25041,LPS-2h
ARSG,TAF11,-0.11108,LPS-2h
ARSG,TPM3,-0.09556,LPS-2h
B3GNT5,BLZF1,0.11183,LPS-2h
B3GNT5,C19orf31,-0.09214,LPS-2h
B3GNT5,CAPS2,-0.0955,LPS-2h
B3GNT5,CCL20,0.14974,LPS-2h
B3GNT5,CD72,-0.0799,LPS-2h
B3GNT5,CHST12,-0.09067,LPS-2h
B3GNT5,COX6A1,-0.06434,LPS-2h
B3GNT5,CPPED1,0.17701,LPS-2h
B3GNT5,CREB1,-0.12483,LPS-2h
B3GNT5,CRTC3,-0.13426,LPS-2h
B3GNT5,GLTSCR1,-0.1027,LPS-2h
B3GNT5,HNRPR,-0.23588,LPS-2h
B3GNT5,IMPDH1,-0.08017,LPS-2h
B3GNT5,LGALS3,0.24833,LPS-2h
B3GNT5,MFSD11,0.1083,LPS-2h
B3GNT5,NBPF8,0.15697,LPS-2h
B3GNT5,NUP107,-0.08753,LPS-2h
B3GNT5,PHRF1,-0.16597,LPS-2h
B3GNT5,SSSCA1,-0.07435,LPS-2h
B3GNT5,TIPRL,0.13631,LPS-2h
B3GNT5,TLK1,0.21579,LPS-2h
B3GNT5,TNK2,-0.07946,LPS-2h
B3GNT5,ZNF701,0.10763,LPS-2h
B3GNT5,ZNF738,0.15797,LPS-2h
B3GNT5,ZNF845,-0.05961,LPS-2h
BATF3,CYP27A1,-0.18516,LPS-2h
BATF3,EPSTI1,0.2409,LPS-2h
BATF3,IL12RB1,0.20557,LPS-2h
BATF3,NOD1,0.1532,LPS-2h
BATF3,PHF1,-0.16672,LPS-2h
BATF3,SLAMF7,0.06403,LPS-2h
BATF3,TNFSF14,-0.21008,LPS-2h
BCYRN1,BLZF1,0.054,LPS-2h
BCYRN1,LOC100130053,0.18612,LPS-2h
BCYRN1,LOC100131850,0.25434,LPS-2h
BCYRN1,LOC100134868,0.25561,LPS-2h
BCYRN1,LOC123688,0.1309,LPS-2h
BCYRN1,STK24,-0.10928,LPS-2h
BCYRN1,ZNF786,0.13678,LPS-2h
BFAR,C1orf210,-0.13207,LPS-2h
BFAR,C4orf34,-0.08579,LPS-2h
BFAR,GTF2IRD2B,-0.20234,LPS-2h
BFAR,HSBP1,-0.06906,LPS-2h
BFAR,ISG20L2,0.16237,LPS-2h
BFAR,NFIL3,-0.14581,LPS-2h
BFAR,PHRF1,0.15653,LPS-2h
BFAR,PLEKHB2,0.08048,LPS-2h
BFAR,SGK3,-0.12107,LPS-2h
BFAR,SLC35E3,0.14006,LPS-2h
BFAR,TNK2,-0.15761,LPS-2h
BFAR,VHL,0.13108,LPS-2h
BFAR,YRDC,0.14532,LPS-2h
BIRC3,CCL20,0.2475,LPS-2h
BIRC3,COPZ1,-0.23193,LPS-2h
BIRC3,IL10,0.17393,LPS-2h
BIRC3,LOC643509,0.11626,LPS-2h
BIRC3,LYRM7,0.12255,LPS-2h
BIRC3,NLRP3,0.12379,LPS-2h
BIRC3,PCYOX1,-0.16448,LPS-2h
BIRC3,RELB,-0.07589,LPS-2h
BIRC3,RRP7B,0.12889,LPS-2h
BIRC3,SNORD3D,0.05801,LPS-2h
BIRC3,SNX15,-0.17545,LPS-2h
BIRC3,SPC24,0.10458,LPS-2h
BIRC3,TNFRSF10B,0.08911,LPS-2h
BIRC3,TPM4,-0.13287,LPS-2h
BIRC3,YRDC,0.10004,LPS-2h
BLZF1,BMS1P5,0.16784,LPS-2h
BLZF1,C21orf55,0.06322,LPS-2h
BLZF1,CCDC125,0.44579,LPS-2h
BLZF1,CREB1,-0.13282,LPS-2h
BLZF1,DAPP1,0.27903,LPS-2h
BLZF1,ZNF14,0.26913,LPS-2h
BMS1P5,C15orf63,0.13947,LPS-2h
BMS1P5,C3orf34,0.20906,LPS-2h
BMS1P5,HCG2P7,0.2632,LPS-2h
BMS1P5,LOC100128288,0.34371,LPS-2h
BTBD2,CBR3,-0.15623,LPS-2h
BTBD2,GIMAP1,0.18128,LPS-2h
BTBD2,IMPDH1,0.19029,LPS-2h
BTBD2,SLC3A2,-0.21806,LPS-2h
BTBD2,STK24,0.11119,LPS-2h
BTBD2,TNK2,0.11525,LPS-2h
BTBD2,TRIM56,-0.21062,LPS-2h
BTBD2,WNT5A,-0.16405,LPS-2h
BTBD2,ZYX,0.15081,LPS-2h
C11orf63,C12orf43,0.08739,LPS-2h
C11orf63,C6orf170,0.26116,LPS-2h
C11orf63,LOC100130276,0.23894,LPS-2h
C11orf63,RASSF6,0.14813,LPS-2h
C11orf63,TNFSF15,0.17335,LPS-2h
C11orf63,ZNF557,0.27076,LPS-2h
C12orf43,EPSTI1,-0.1094,LPS-2h
C12orf43,FAM102A,0.09462,LPS-2h
C12orf43,ISG20L2,0.22579,LPS-2h
C12orf43,LEMD3,0.14321,LPS-2h
C12orf43,LGALS3,0.1152,LPS-2h
C12orf43,LOC123688,-0.09994,LPS-2h
C12orf43,NLRP3,-0.13883,LPS-2h
C12orf43,SC4MOL,-0.13587,LPS-2h
C12orf43,TAF13,-0.08286,LPS-2h
C12orf43,TNK2,-0.15312,LPS-2h
C12orf43,TRIM56,0.19566,LPS-2h
C12orf43,ZNF845,0.15953,LPS-2h
C15orf63,C21orf24,0.32008,LPS-2h
C15orf63,LOC729603,0.22495,LPS-2h
C15orf63,TMEM17,0.38009,LPS-2h
C19orf12,C1orf210,0.09689,LPS-2h
C19orf12,COX16,0.10399,LPS-2h
C19orf12,LGMN,0.21429,LPS-2h
C19orf12,LOC100132540,0.32208,LPS-2h
C19orf12,PRO1853,-0.10515,LPS-2h
C19orf12,SNRNP48,0.09784,LPS-2h
C19orf12,TNFRSF10B,-0.18963,LPS-2h
C19orf12,TRIM34,0.25317,LPS-2h
C19orf31,CCNB1IP1,-0.09734,LPS-2h
C19orf31,FAM177A1,0.14355,LPS-2h
C19orf31,IER3,0.21434,LPS-2h
C19orf31,ITIH5,0.36133,LPS-2h
C19orf31,LOC729439,0.22229,LPS-2h
C19orf31,RN7SL1,0.14563,LPS-2h
C1orf151,C1orf210,0.00041,LPS-2h
C1orf151,FAM153B,0.06644,LPS-2h
C1orf151,FLJ40453,0.21561,LPS-2h
C1orf151,LOC100132620,0.12185,LPS-2h
C1orf151,MTMR12,0.11018,LPS-2h
C1orf151,PPFIBP1,0.17116,LPS-2h
C1orf151,TAF11,0.14761,LPS-2h
C1orf210,FDXACB1,0.22287,LPS-2h
C1orf210,PPFIBP1,0.25338,LPS-2h
C1orf210,ZNF765,0.23091,LPS-2h
C1QA,GNB4,0.11841,LPS-2h
C1QA,KCNMB4,0.13085,LPS-2h
C1QA,LYRM7,-0.18834,LPS-2h
C1QA,OSCAR,0.21837,LPS-2h
C1QA,PRO1853,0.10417,LPS-2h
C1QA,PRPF8,-0.10611,LPS-2h
C1QA,YRDC,-0.19246,LPS-2h
C21orf24,LOC284821,0.12825,LPS-2h
C21orf24,POFUT1,0.479,LPS-2h
C21orf55,C8orf45,0.3053,LPS-2h
C21orf55,CDAN1,0.25629,LPS-2h
C21orf55,CHRNA5,-0.08764,LPS-2h
C21orf55,GTF2IRD2B,-0.08111,LPS-2h
C21orf55,PDE4C,0.36936,LPS-2h
C3orf34,C4orf34,0.04352,LPS-2h
C3orf34,C8orf45,0.14255,LPS-2h
C3orf34,CATSPER2,0.14165,LPS-2h
C3orf34,CHRNA5,0.10611,LPS-2h
C3orf34,DAPP1,-0.0823,LPS-2h
C3orf34,DUSP19,0.14309,LPS-2h
C3orf34,LRRFIP1,0.29817,LPS-2h
C3orf34,SEMA3E,0.22511,LPS-2h
C3orf34,ZMAT3,0.28003,LPS-2h
C4orf34,CDK5RAP2,0.07136,LPS-2h
C4orf34,JARID2,-0.14891,LPS-2h
C4orf34,KLHL8,0.24285,LPS-2h
C4orf34,LYRM7,0.06395,LPS-2h
C4orf34,PCYOX1,0.36842,LPS-2h
C4orf34,PION,-0.08371,LPS-2h
C4orf34,SGK3,0.20101,LPS-2h
C4orf34,TPM4,-0.16681,LPS-2h
C4orf34,VPS41,0.25338,LPS-2h
C5orf28,C6orf170,0.06014,LPS-2h
C5orf28,C8orf45,0.15349,LPS-2h
C5orf28,CRCP,0.34759,LPS-2h
C6orf170,CAPS2,0.19379,LPS-2h
C6orf170,FAM153B,0.29265,LPS-2h
C6orf170,LOC644642,0.21051,LPS-2h
C6orf170,LOC728105,0.30989,LPS-2h
C6orf61,GLTSCR1,0.14914,LPS-2h
C6orf61,HNRPR,0.12298,LPS-2h
C6orf61,IFT88,0.2306,LPS-2h
C6orf61,MTMR12,0.11397,LPS-2h
C6orf61,NOD1,-0.09977,LPS-2h
C6orf61,ZNF845,0.1217,LPS-2h
C8orf45,C9orf80,0.14141,LPS-2h
C8orf45,CATSPER2,0.08762,LPS-2h
C9orf116,SLC3A2,0.10877,LPS-2h
C9orf80,CAPS2,0.12925,LPS-2h
C9orf80,CCDC125,0.20891,LPS-2h
C9orf80,CRCP,0.2371,LPS-2h
C9orf80,CREB1,-0.05272,LPS-2h
C9orf80,LOC729603,0.20267,LPS-2h
C9orf80,ZNF430,0.20229,LPS-2h
CAPS2,FOXD4L4,0.13916,LPS-2h
CAPS2,GTF2IRD2B,0.12157,LPS-2h
CAPS2,LEF1,-0.10785,LPS-2h
CAPS2,LOC284821,0.23217,LPS-2h
CAPS2,LOC441087,0.19064,LPS-2h
CAPS2,NCAPD2,-0.19056,LPS-2h
CAPS2,SC4MOL,0.12762,LPS-2h
CATSPER2,CCBE1,0.40551,LPS-2h
CBR3,COX6A1,0.14818,LPS-2h
CBR3,EPSTI1,0.15418,LPS-2h
CBR3,SLC4A5,-0.06613,LPS-2h
CCBE1,CCDC125,0.2759,LPS-2h
